,utility,wait,ride_length
Grizzly River Run,12.0,34.97805413313826,5
Soarin' Around the World,10.5,60.99369085173502,5
Guardians of the Galaxy - Mission: BREAKOUT!,8.5,76.60252365930599,5
WEB SLINGERS: A Spider-Man Adventure,7.5,36.38228941684665,5
Incredicoaster,5.0,34.97840172786177,5
"Monsters, Inc. Mike & Sulley to the Rescue!",5.0,33.18304535637149,5
The Little Mermaid - Ariel's Undersea Adventure,4.5,19.68682505399568,5
Goofy's Sky School,4.0,32.05453563714903,5
Toy Story Midway Mania!,3.5,40.836933045356375,5
Radiator Springs Racers,11.5,78.11285097192224,5
Redwood Creek Challenge Trail,7.5,3.1460369163952224,5
Golden Zephyr,6.0,7.656343061346039,5
Inside Out Emotional Whirlwind,6.0,20.64524838012959,5
Luigi's Rollickin' Roadsters,6.0,21.554505005561737,5
Red Car Trolley,6.0,0.0,5
Silly Symphony Swings,6.0,11.808855291576673,5
Jessie's Critter Carousel,5.0,6.484881209503239,5
Mater's Junkyard Jamboree,4.0,21.892744479495267,5
Jumpin' Jellyfish,3.5,13.474622030237581,5
Turtle Talk with Crush,3.0,0.0,5
Entrance,0.0,0.0,0
