Ride	Lightning Lane	S3	S2	S1	Total
Grizzly River Run	CLOSED?	4	4	4	12
Soarin' Around the World	yes	3	4	3.5	10.5
Guardians of the Galaxy - Mission: BREAKOUT!	yes	1.5	4	3	8.5
WEB SLINGERS: A Spider-Man Adventure	yes	2.5	2	3	7.5
Incredicoaster	yes	1	3	1	5
Monsters, Inc. Mike & Sulley to the Rescue!	yes	1.5	1	2.5	5
The Little Mermaid - Ariel's Undersea Adventure	yes	1.5	1	2	4.5
Goofy's Sky School	yes	1	1	2	4
Toy Story Midway Mania!	yes	1	1	1.5	3.5
Radiator Springs Racers	no*	4	4	3.5	11.5
Redwood Creek Challenge Trail	no	1.5	3	3	7.5
Golden Zephyr	CLOSED?	2	2	2	6
Inside Out Emotional Whirlwind	CLOSED?	3	1	2	6
Luigi's Rollickin' Roadsters	no	2	2	2	6
Red Car Trolley	no	1	3	2	6
Silly Symphony Swings	no	2	2	2	6
Jessie's Critter Carousel	no	1	2	2	5
Mater's Junkyard Jamboree	no	1	1	2	4
Jumpin' Jellyfish	no	1	1	1.5	3.5
Turtle Talk with Crush	no	1	1	1	3
