from,to,time
Radiator Springs Racers,Guardians of the Galaxy - Mission: BREAKOUT!,4
Radiator Springs Racers,Soarin' Around the World,6
Radiator Springs Racers,Toy Story Midway Mania!,7
Radiator Springs Racers,WEB SLINGERS: A Spider-Man Adventure,4
Radiator Springs Racers,Incredicoaster,7
Radiator Springs Racers,"Monsters, Inc. Mike & Sulley to the Rescue!",6
Radiator Springs Racers,Goofy's Sky School,6
Radiator Springs Racers,Inside Out Emotional Whirlwind,8
Radiator Springs Racers,Grizzly River Run,7
Radiator Springs Racers,Luigi's Rollickin' Roadsters,1
Radiator Springs Racers,The Little Mermaid - Ariel's Undersea Adventure,5
Radiator Springs Racers,Mater's Junkyard Jamboree,2
Radiator Springs Racers,Jumpin' Jellyfish,6
Radiator Springs Racers,Silly Symphony Swings,8
Radiator Springs Racers,Golden Zephyr,6
Radiator Springs Racers,Jessie's Critter Carousel,7
Radiator Springs Racers,Redwood Creek Challenge Trail,6
Radiator Springs Racers,Turtle Talk with Crush,6
Radiator Springs Racers,Red Car Trolley,6
Guardians of the Galaxy - Mission: BREAKOUT!,Soarin' Around the World,5
Guardians of the Galaxy - Mission: BREAKOUT!,Toy Story Midway Mania!,9
Guardians of the Galaxy - Mission: BREAKOUT!,WEB SLINGERS: A Spider-Man Adventure,3
Guardians of the Galaxy - Mission: BREAKOUT!,Incredicoaster,9
Guardians of the Galaxy - Mission: BREAKOUT!,"Monsters, Inc. Mike & Sulley to the Rescue!",2
Guardians of the Galaxy - Mission: BREAKOUT!,Goofy's Sky School,8
Guardians of the Galaxy - Mission: BREAKOUT!,Inside Out Emotional Whirlwind,10
Guardians of the Galaxy - Mission: BREAKOUT!,Grizzly River Run,7
Guardians of the Galaxy - Mission: BREAKOUT!,Luigi's Rollickin' Roadsters,3
Guardians of the Galaxy - Mission: BREAKOUT!,The Little Mermaid - Ariel's Undersea Adventure,6
Guardians of the Galaxy - Mission: BREAKOUT!,Mater's Junkyard Jamboree,4
Guardians of the Galaxy - Mission: BREAKOUT!,Jumpin' Jellyfish,8
Guardians of the Galaxy - Mission: BREAKOUT!,Silly Symphony Swings,9
Guardians of the Galaxy - Mission: BREAKOUT!,Golden Zephyr,7
Guardians of the Galaxy - Mission: BREAKOUT!,Jessie's Critter Carousel,9
Guardians of the Galaxy - Mission: BREAKOUT!,Redwood Creek Challenge Trail,7
Guardians of the Galaxy - Mission: BREAKOUT!,Turtle Talk with Crush,2
Guardians of the Galaxy - Mission: BREAKOUT!,Red Car Trolley,4
Soarin' Around the World,Toy Story Midway Mania!,8
Soarin' Around the World,WEB SLINGERS: A Spider-Man Adventure,3
Soarin' Around the World,Incredicoaster,7
Soarin' Around the World,"Monsters, Inc. Mike & Sulley to the Rescue!",5
Soarin' Around the World,Goofy's Sky School,6
Soarin' Around the World,Inside Out Emotional Whirlwind,8
Soarin' Around the World,Grizzly River Run,2
Soarin' Around the World,Luigi's Rollickin' Roadsters,5
Soarin' Around the World,The Little Mermaid - Ariel's Undersea Adventure,5
Soarin' Around the World,Mater's Junkyard Jamboree,4
Soarin' Around the World,Jumpin' Jellyfish,6
Soarin' Around the World,Silly Symphony Swings,7
Soarin' Around the World,Golden Zephyr,6
Soarin' Around the World,Jessie's Critter Carousel,8
Soarin' Around the World,Redwood Creek Challenge Trail,2
Soarin' Around the World,Turtle Talk with Crush,4
Soarin' Around the World,Red Car Trolley,3
Toy Story Midway Mania!,WEB SLINGERS: A Spider-Man Adventure,7
Toy Story Midway Mania!,Incredicoaster,1
Toy Story Midway Mania!,"Monsters, Inc. Mike & Sulley to the Rescue!",10
Toy Story Midway Mania!,Goofy's Sky School,3
Toy Story Midway Mania!,Inside Out Emotional Whirlwind,2
Toy Story Midway Mania!,Grizzly River Run,7
Toy Story Midway Mania!,Luigi's Rollickin' Roadsters,7
Toy Story Midway Mania!,The Little Mermaid - Ariel's Undersea Adventure,4
Toy Story Midway Mania!,Mater's Junkyard Jamboree,6
Toy Story Midway Mania!,Jumpin' Jellyfish,4
Toy Story Midway Mania!,Silly Symphony Swings,2
Toy Story Midway Mania!,Golden Zephyr,4
Toy Story Midway Mania!,Jessie's Critter Carousel,1
Toy Story Midway Mania!,Redwood Creek Challenge Trail,5
Toy Story Midway Mania!,Turtle Talk with Crush,9
Toy Story Midway Mania!,Red Car Trolley,9
WEB SLINGERS: A Spider-Man Adventure,Incredicoaster,6
WEB SLINGERS: A Spider-Man Adventure,"Monsters, Inc. Mike & Sulley to the Rescue!",5
WEB SLINGERS: A Spider-Man Adventure,Goofy's Sky School,5
WEB SLINGERS: A Spider-Man Adventure,Inside Out Emotional Whirlwind,7
WEB SLINGERS: A Spider-Man Adventure,Grizzly River Run,5
WEB SLINGERS: A Spider-Man Adventure,Luigi's Rollickin' Roadsters,3
WEB SLINGERS: A Spider-Man Adventure,The Little Mermaid - Ariel's Undersea Adventure,4
WEB SLINGERS: A Spider-Man Adventure,Mater's Junkyard Jamboree,2
WEB SLINGERS: A Spider-Man Adventure,Jumpin' Jellyfish,5
WEB SLINGERS: A Spider-Man Adventure,Silly Symphony Swings,6
WEB SLINGERS: A Spider-Man Adventure,Golden Zephyr,5
WEB SLINGERS: A Spider-Man Adventure,Jessie's Critter Carousel,7
WEB SLINGERS: A Spider-Man Adventure,Redwood Creek Challenge Trail,5
WEB SLINGERS: A Spider-Man Adventure,Turtle Talk with Crush,5
WEB SLINGERS: A Spider-Man Adventure,Red Car Trolley,3
Incredicoaster,"Monsters, Inc. Mike & Sulley to the Rescue!",10
Incredicoaster,Goofy's Sky School,4
Incredicoaster,Inside Out Emotional Whirlwind,3
Incredicoaster,Grizzly River Run,6
Incredicoaster,Luigi's Rollickin' Roadsters,6
Incredicoaster,The Little Mermaid - Ariel's Undersea Adventure,4
Incredicoaster,Mater's Junkyard Jamboree,5
Incredicoaster,Jumpin' Jellyfish,5
Incredicoaster,Silly Symphony Swings,3
Incredicoaster,Golden Zephyr,4
Incredicoaster,Jessie's Critter Carousel,1
Incredicoaster,Redwood Creek Challenge Trail,5
Incredicoaster,Turtle Talk with Crush,9
Incredicoaster,Red Car Trolley,8
"Monsters, Inc. Mike & Sulley to the Rescue!",Goofy's Sky School,9
"Monsters, Inc. Mike & Sulley to the Rescue!",Inside Out Emotional Whirlwind,10
"Monsters, Inc. Mike & Sulley to the Rescue!",Grizzly River Run,6
"Monsters, Inc. Mike & Sulley to the Rescue!",Luigi's Rollickin' Roadsters,5
"Monsters, Inc. Mike & Sulley to the Rescue!",The Little Mermaid - Ariel's Undersea Adventure,5
"Monsters, Inc. Mike & Sulley to the Rescue!",Mater's Junkyard Jamboree,5
"Monsters, Inc. Mike & Sulley to the Rescue!",Jumpin' Jellyfish,8
"Monsters, Inc. Mike & Sulley to the Rescue!",Silly Symphony Swings,10
"Monsters, Inc. Mike & Sulley to the Rescue!",Golden Zephyr,8
"Monsters, Inc. Mike & Sulley to the Rescue!",Jessie's Critter Carousel,10
"Monsters, Inc. Mike & Sulley to the Rescue!",Redwood Creek Challenge Trail,7
"Monsters, Inc. Mike & Sulley to the Rescue!",Turtle Talk with Crush,1
"Monsters, Inc. Mike & Sulley to the Rescue!",Red Car Trolley,4
Goofy's Sky School,Inside Out Emotional Whirlwind,2
Goofy's Sky School,Grizzly River Run,5
Goofy's Sky School,Luigi's Rollickin' Roadsters,6
Goofy's Sky School,The Little Mermaid - Ariel's Undersea Adventure,2
Goofy's Sky School,Mater's Junkyard Jamboree,4
Goofy's Sky School,Jumpin' Jellyfish,1
Goofy's Sky School,Silly Symphony Swings,1
Goofy's Sky School,Golden Zephyr,1
Goofy's Sky School,Jessie's Critter Carousel,4
Goofy's Sky School,Redwood Creek Challenge Trail,4
Goofy's Sky School,Turtle Talk with Crush,8
Goofy's Sky School,Red Car Trolley,7
Inside Out Emotional Whirlwind,Grizzly River Run,7
Inside Out Emotional Whirlwind,Luigi's Rollickin' Roadsters,8
Inside Out Emotional Whirlwind,The Little Mermaid - Ariel's Undersea Adventure,3
Inside Out Emotional Whirlwind,Mater's Junkyard Jamboree,6
Inside Out Emotional Whirlwind,Jumpin' Jellyfish,2
Inside Out Emotional Whirlwind,Silly Symphony Swings,1
Inside Out Emotional Whirlwind,Golden Zephyr,2
Inside Out Emotional Whirlwind,Jessie's Critter Carousel,3
Inside Out Emotional Whirlwind,Redwood Creek Challenge Trail,6
Inside Out Emotional Whirlwind,Turtle Talk with Crush,10
Inside Out Emotional Whirlwind,Red Car Trolley,9
Grizzly River Run,Luigi's Rollickin' Roadsters,7
Grizzly River Run,The Little Mermaid - Ariel's Undersea Adventure,4
Grizzly River Run,Mater's Junkyard Jamboree,5
Grizzly River Run,Jumpin' Jellyfish,5
Grizzly River Run,Silly Symphony Swings,6
Grizzly River Run,Golden Zephyr,4
Grizzly River Run,Jessie's Critter Carousel,6
Grizzly River Run,Redwood Creek Challenge Trail,1
Grizzly River Run,Turtle Talk with Crush,5
Grizzly River Run,Red Car Trolley,4
Luigi's Rollickin' Roadsters,The Little Mermaid - Ariel's Undersea Adventure,4
Luigi's Rollickin' Roadsters,Mater's Junkyard Jamboree,2
Luigi's Rollickin' Roadsters,Jumpin' Jellyfish,6
Luigi's Rollickin' Roadsters,Silly Symphony Swings,7
Luigi's Rollickin' Roadsters,Golden Zephyr,5
Luigi's Rollickin' Roadsters,Jessie's Critter Carousel,7
Luigi's Rollickin' Roadsters,Redwood Creek Challenge Trail,5
Luigi's Rollickin' Roadsters,Turtle Talk with Crush,5
Luigi's Rollickin' Roadsters,Red Car Trolley,5
The Little Mermaid - Ariel's Undersea Adventure,Mater's Junkyard Jamboree,3
The Little Mermaid - Ariel's Undersea Adventure,Jumpin' Jellyfish,1
The Little Mermaid - Ariel's Undersea Adventure,Silly Symphony Swings,3
The Little Mermaid - Ariel's Undersea Adventure,Golden Zephyr,1
The Little Mermaid - Ariel's Undersea Adventure,Jessie's Critter Carousel,4
The Little Mermaid - Ariel's Undersea Adventure,Redwood Creek Challenge Trail,2
The Little Mermaid - Ariel's Undersea Adventure,Turtle Talk with Crush,6
The Little Mermaid - Ariel's Undersea Adventure,Red Car Trolley,6
Mater's Junkyard Jamboree,Jumpin' Jellyfish,4
Mater's Junkyard Jamboree,Silly Symphony Swings,6
Mater's Junkyard Jamboree,Golden Zephyr,4
Mater's Junkyard Jamboree,Jessie's Critter Carousel,6
Mater's Junkyard Jamboree,Redwood Creek Challenge Trail,4
Mater's Junkyard Jamboree,Turtle Talk with Crush,4
Mater's Junkyard Jamboree,Red Car Trolley,4
Jumpin' Jellyfish,Silly Symphony Swings,1
Jumpin' Jellyfish,Golden Zephyr,1
